Waktu (detik),Tegangan (V),Arus (A)
0.0,12.06,3.83
1.0,12.06,3.83
2.0,12.06,3.8400000000000003
3.0,12.05,3.85
4.0,12.05,3.92
5.0,12.04,4.0
6.0,12.05,3.94
7.0,12.06,3.91
8.0,12.05,3.98
9.0,12.07,3.89
10.0,12.08,3.79
11.0,12.1,3.65
12.0,12.09,3.68
13.0,12.1,3.69
14.0,12.1,3.64
15.0,12.12,3.47
16.0,12.12,3.46
17.0,12.12,3.5
18.0,12.12,3.46
19.0,12.11,3.52
20.0,12.11,3.48
21.0,12.11,3.49
22.0,12.09,3.58
23.0,12.08,3.68
24.0,12.08,3.65
25.0,12.05,3.8200000000000003
26.0,12.06,3.73
27.0,12.07,3.65
28.0,12.08,3.5900000000000003
29.0,12.08,3.49
30.0,12.07,3.6
31.0,12.07,3.67
32.0,12.07,3.64
33.0,12.08,3.5700000000000003
34.0,12.09,3.5300000000000002
35.0,12.09,3.5
36.0,12.08,3.64
37.0,12.08,3.6
38.0,12.09,3.5900000000000003
39.0,12.08,3.72
40.0,12.09,3.5900000000000003
41.0,12.11,3.5
42.0,12.1,3.5500000000000003
43.0,12.11,3.52
44.0,12.09,3.65
45.0,12.09,3.68
46.0,12.09,3.58
47.0,12.08,3.64
48.0,12.09,3.6
49.0,12.1,3.5500000000000003
50.0,12.09,3.6
51.0,12.08,3.75
52.0,12.09,3.62
53.0,12.08,3.74
54.0,12.09,3.67
55.0,12.09,3.6100000000000003
56.0,12.1,3.58
57.0,12.11,3.52
58.0,12.11,3.54
59.0,12.1,3.6100000000000003
60.0,12.08,3.7
61.0,12.09,3.62
62.0,12.09,3.62
63.0,12.08,3.6100000000000003
64.0,12.08,3.65
65.0,12.08,3.7
66.0,12.08,3.69
67.0,12.08,3.69
68.0,12.07,3.81
69.0,12.07,3.7600000000000002
70.0,12.09,3.5900000000000003
71.0,12.1,3.54
72.0,12.1,3.52
73.0,12.12,3.4
74.0,12.14,3.2800000000000002
75.0,12.15,3.14
76.0,12.15,3.18
77.0,12.15,3.16
78.0,12.15,3.17
79.0,12.15,3.21
80.0,12.14,3.22
81.0,12.13,3.3000000000000003
82.0,12.13,3.33
83.0,12.11,3.48
84.0,12.1,3.58
85.0,12.1,3.6
86.0,12.1,3.5700000000000003
87.0,12.08,3.75
88.0,12.09,3.65
89.0,12.1,3.5500000000000003
90.0,12.09,3.68
91.0,12.08,3.75
92.0,12.08,3.71
93.0,12.1,3.6
94.0,12.09,3.65
95.0,12.08,3.68
96.0,12.07,3.81
97.0,12.09,3.62
98.0,12.09,3.65
99.0,12.08,3.65
100.0,12.09,3.62
101.0,12.09,3.62
102.0,12.07,3.7600000000000002
103.0,12.05,3.83
104.0,12.06,3.83
105.0,12.06,3.8000000000000003
106.0,12.06,3.8200000000000003
107.0,12.05,3.8600000000000003
108.0,12.04,3.93
109.0,12.04,3.96
110.0,12.03,4.02
111.0,12.04,4.0
112.0,12.05,3.96
113.0,12.06,3.85
114.0,12.06,3.8400000000000003
115.0,12.05,3.98
116.0,12.06,3.89
117.0,12.05,3.95
118.0,12.07,3.81
119.0,12.08,3.71
120.0,12.09,3.5900000000000003
121.0,12.1,3.5500000000000003
122.0,12.11,3.45
123.0,12.1,3.6
124.0,12.1,3.5900000000000003
125.0,12.12,3.46
126.0,12.11,3.52
127.0,12.11,3.5
128.0,12.1,3.5900000000000003
129.0,12.1,3.68
130.0,12.1,3.6300000000000003
131.0,12.11,3.58
132.0,12.1,3.71
133.0,12.1,3.66
134.0,12.12,3.5
135.0,12.12,3.5100000000000002
136.0,12.13,3.41
137.0,12.13,3.3800000000000003
138.0,12.13,3.3000000000000003
139.0,12.12,3.3800000000000003
140.0,12.11,3.48
141.0,12.1,3.52
142.0,12.12,3.42
143.0,12.11,3.47
144.0,12.1,3.5900000000000003
145.0,12.1,3.6100000000000003
146.0,12.08,3.72
147.0,12.07,3.85
148.0,12.07,3.87
149.0,12.08,3.74
150.0,12.07,3.79
151.0,12.08,3.73
152.0,12.07,3.75
153.0,12.09,3.58
154.0,12.1,3.5100000000000002
155.0,12.09,3.54
156.0,12.11,3.4
157.0,12.11,3.4
158.0,12.1,3.54
159.0,12.1,3.52
160.0,12.13,3.3600000000000003
161.0,12.13,3.3800000000000003
162.0,12.12,3.43
163.0,12.1,3.56
164.0,12.09,3.6300000000000003
165.0,12.09,3.65
166.0,12.09,3.64
167.0,12.11,3.5
168.0,12.12,3.3600000000000003
169.0,12.11,3.4
170.0,12.11,3.44
171.0,12.1,3.5
172.0,12.1,3.5500000000000003
173.0,12.1,3.6
174.0,12.11,3.5
175.0,12.12,3.47
176.0,12.11,3.52
177.0,12.09,3.67
178.0,12.08,3.7800000000000002
179.0,12.08,3.73
180.0,12.09,3.71
181.0,12.08,3.74
182.0,12.09,3.67
183.0,12.09,3.67
184.0,12.09,3.66
185.0,12.1,3.58
186.0,12.09,3.68
187.0,12.09,3.66
188.0,12.1,3.6
189.0,12.09,3.68
190.0,12.08,3.7
191.0,12.09,3.58
192.0,12.08,3.65
193.0,12.09,3.58
194.0,12.08,3.67
195.0,12.07,3.7600000000000002
196.0,12.08,3.66
197.0,12.09,3.6
198.0,12.08,3.64
199.0,12.08,3.67
200.0,12.08,3.69
201.0,12.07,3.75
202.0,12.09,3.6100000000000003
203.0,12.09,3.54
204.0,12.09,3.5100000000000002
205.0,12.1,3.48
206.0,12.09,3.58
207.0,12.08,3.6100000000000003
208.0,12.09,3.5300000000000002
209.0,12.09,3.56
210.0,12.08,3.64
211.0,12.07,3.68
212.0,12.06,3.81
213.0,12.06,3.81
214.0,12.06,3.8200000000000003
215.0,12.06,3.77
216.0,12.07,3.73
217.0,12.08,3.69
218.0,12.06,3.8400000000000003
219.0,12.06,3.83
220.0,12.06,3.7800000000000002
221.0,12.06,3.81
222.0,12.06,3.81
223.0,12.06,3.85
224.0,12.07,3.8000000000000003
225.0,12.07,3.8200000000000003
226.0,12.08,3.7
227.0,12.08,3.7600000000000002
228.0,12.09,3.66
229.0,12.1,3.5700000000000003
230.0,12.11,3.5300000000000002
231.0,12.12,3.39
232.0,12.14,3.22
233.0,12.13,3.24
234.0,12.13,3.2
235.0,12.13,3.2
236.0,12.11,3.3800000000000003
237.0,12.11,3.31
238.0,12.12,3.27
239.0,12.1,3.3800000000000003
240.0,12.09,3.46
241.0,12.09,3.54
242.0,12.08,3.58
243.0,12.07,3.68
244.0,12.07,3.73
245.0,12.07,3.77
246.0,12.08,3.64
247.0,12.08,3.71
248.0,12.06,3.8400000000000003
249.0,12.08,3.71
250.0,12.09,3.6
251.0,12.08,3.67
252.0,12.07,3.75
253.0,12.09,3.6300000000000003
254.0,12.08,3.62
255.0,12.09,3.5700000000000003
256.0,12.1,3.54
