Waktu (detik),Tegangan (V),Arus (A)
0.0,12.02,4.06
1.0,12.02,3.87
2.0,12.01,2.99
3.0,12.03,3.97
4.0,12.01,3.18
5.0,12.04,4.11
6.0,12.08,3.14
7.0,12.04,4.11
8.0,12.06,2.79
9.0,12.16,2.5
10.0,12.08,3.58
11.0,12.07,3.92
12.0,12.26,2.35
13.0,12.03,4.02
14.0,11.94,3.72
15.0,12.06,3.14
16.0,11.82,3.8200000000000003
17.0,12.21,2.35
18.0,12.04,3.2800000000000002
19.0,12.16,2.4
20.0,12.21,2.75
21.0,11.89,3.62
22.0,12.18,2.7
23.0,11.96,3.48
24.0,12.23,2.35
25.0,11.96,3.62
26.0,12.21,2.35
27.0,11.87,3.87
28.0,11.89,4.02
29.0,11.99,3.3800000000000003
30.0,11.77,4.02
31.0,12.01,3.33
32.0,12.11,2.94
33.0,11.99,3.33
34.0,11.96,3.43
35.0,11.94,3.2800000000000002
36.0,11.79,3.67
37.0,11.89,3.3800000000000003
38.0,11.77,4.06
39.0,12.18,2.2600000000000002
40.0,12.21,2.5
41.0,12.18,2.31
42.0,11.77,4.02
43.0,11.77,3.72
44.0,12.18,2.31
45.0,11.99,3.23
46.0,11.79,3.58
47.0,11.96,3.3800000000000003
48.0,11.74,3.97
49.0,11.91,3.67
50.0,12.08,2.5
51.0,12.04,2.84
52.0,11.91,3.5300000000000002
53.0,11.96,3.3800000000000003
54.0,12.16,2.75
55.0,12.23,2.65
56.0,11.94,3.62
57.0,12.08,3.23
58.0,12.21,2.2600000000000002
59.0,12.06,2.79
60.0,12.11,2.99
61.0,12.06,2.65
62.0,11.84,4.11
63.0,11.99,3.33
64.0,11.96,3.3800000000000003
65.0,11.84,3.5300000000000002
66.0,11.77,4.02
67.0,11.96,3.2800000000000002
68.0,11.94,3.04
69.0,11.99,3.23
70.0,12.13,2.31
71.0,12.01,2.99
72.0,11.77,3.87
73.0,11.82,3.97
74.0,11.99,2.6
75.0,11.82,3.3800000000000003
76.0,11.89,3.3800000000000003
77.0,11.89,3.5300000000000002
78.0,11.72,3.97
79.0,11.82,4.02
80.0,11.72,4.06
81.0,11.91,3.23
82.0,11.72,4.26
83.0,12.01,2.79
84.0,11.69,4.06
85.0,11.74,3.62
86.0,11.84,3.58
87.0,11.91,3.2800000000000002
88.0,11.72,3.72
89.0,11.74,3.92
90.0,11.89,2.89
91.0,11.72,3.72
92.0,11.84,3.43
93.0,11.69,4.16
94.0,12.04,2.31
95.0,11.94,2.94
96.0,11.74,3.43
97.0,11.67,4.06
98.0,11.96,2.35
99.0,11.77,3.3800000000000003
100.0,11.72,3.58
101.0,11.72,3.33
102.0,11.89,2.99
103.0,12.01,2.31
104.0,11.72,3.87
105.0,11.99,2.21
106.0,11.87,3.04
107.0,11.84,2.6
108.0,11.82,3.43
109.0,11.74,3.72
110.0,11.91,2.31
111.0,11.82,2.79
112.0,11.91,2.7
113.0,11.99,2.31
114.0,11.69,3.87
115.0,11.84,3.23
116.0,11.65,3.92
117.0,11.77,2.79
118.0,11.62,3.92
119.0,11.62,3.77
120.0,11.74,3.33
121.0,11.62,3.87
122.0,11.87,2.84
123.0,11.96,2.16
124.0,11.87,2.4
125.0,11.87,2.7
126.0,11.77,2.84
127.0,11.94,2.16
128.0,11.72,3.23
129.0,11.94,2.11
130.0,11.91,2.2600000000000002
131.0,11.82,2.55
132.0,11.62,4.06
133.0,11.89,2.75
134.0,11.67,3.72
135.0,11.94,2.31
136.0,11.82,2.79
137.0,11.62,3.8200000000000003
138.0,11.74,3.33
139.0,11.6,3.8200000000000003
140.0,11.74,2.6
141.0,11.87,2.16
142.0,11.74,3.2800000000000002
143.0,11.84,2.65
144.0,11.62,3.92
145.0,11.69,3.48
146.0,11.6,3.67
147.0,11.91,1.92
148.0,11.65,3.2800000000000002
149.0,11.6,3.77
150.0,11.74,2.31
