Waktu (detik),Tegangan (V),Arus (A)
0.0,12.77,4.85
1.0,12.84,4.31
2.0,13.04,3.14
3.0,12.94,3.23
4.0,13.04,3.04
5.0,12.84,3.8200000000000003
6.0,12.72,4.45
7.0,12.94,3.23
8.0,12.87,4.06
9.0,13.06,2.99
10.0,12.79,4.16
11.0,12.77,3.5300000000000002
12.0,12.79,3.48
13.0,12.6,4.41
14.0,12.82,3.77
15.0,12.72,4.21
16.0,12.89,3.48
17.0,12.57,4.8
18.0,12.72,4.11
19.0,12.82,3.92
20.0,12.62,4.45
21.0,12.89,2.94
22.0,12.6,4.5
23.0,12.79,3.2800000000000002
24.0,12.57,4.6499999999999995
25.0,12.6,4.21
26.0,12.77,4.11
27.0,12.62,4.6
28.0,12.84,3.5300000000000002
29.0,12.94,3.04
30.0,12.89,2.99
31.0,12.62,4.55
32.0,12.65,4.31
33.0,12.87,2.99
34.0,12.92,3.0900000000000003
35.0,12.74,3.92
36.0,12.82,3.18
37.0,12.57,4.45
38.0,12.77,3.72
39.0,12.77,3.62
40.0,12.72,4.02
41.0,12.55,4.75
42.0,12.55,4.8
43.0,12.92,3.18
44.0,12.92,3.04
45.0,12.67,4.36
46.0,12.7,3.5300000000000002
47.0,12.89,2.94
48.0,12.62,4.5
49.0,12.6,4.41
50.0,12.82,3.14
51.0,12.87,3.58
52.0,12.96,2.79
53.0,12.94,2.89
54.0,12.89,3.0900000000000003
55.0,12.82,3.48
56.0,12.82,3.0900000000000003
57.0,12.87,3.2800000000000002
58.0,12.89,2.84
59.0,12.7,4.02
60.0,12.84,3.14
61.0,12.65,4.26
62.0,12.74,3.87
63.0,12.84,3.5300000000000002
64.0,12.94,3.48
65.0,12.96,3.3800000000000003
66.0,12.74,4.11
67.0,12.79,4.21
68.0,12.96,3.48
69.0,12.82,3.8200000000000003
70.0,12.99,2.84
71.0,13.01,2.79
72.0,12.96,2.99
73.0,12.65,4.8
74.0,12.65,4.6
75.0,12.89,3.18
76.0,12.84,3.62
77.0,12.89,3.04
78.0,12.6,4.6499999999999995
79.0,12.92,3.33
80.0,12.74,4.41
81.0,12.89,3.48
82.0,12.82,3.5300000000000002
83.0,12.6,4.06
84.0,12.52,4.5
85.0,12.77,4.02
86.0,12.65,4.31
87.0,12.77,4.06
88.0,12.67,3.77
89.0,12.7,4.5
90.0,12.77,3.67
91.0,12.82,3.87
92.0,12.6,4.6499999999999995
93.0,12.65,4.75
94.0,12.7,4.36
95.0,12.94,3.33
96.0,12.82,3.87
97.0,12.96,3.14
98.0,12.87,3.3800000000000003
99.0,12.77,3.43
100.0,12.92,3.0900000000000003
101.0,12.99,2.84
102.0,12.82,3.62
103.0,12.87,3.18
104.0,12.89,3.48
105.0,12.6,4.55
106.0,12.84,3.33
107.0,12.72,4.36
108.0,12.6,4.41
109.0,12.74,4.11
110.0,12.92,3.3800000000000003
111.0,12.67,4.5
112.0,12.89,3.3800000000000003
113.0,12.62,4.16
114.0,12.7,3.92
115.0,12.79,3.92
116.0,12.67,4.5
117.0,12.84,3.77
118.0,12.77,3.67
119.0,12.87,3.23
120.0,12.82,3.33
121.0,12.89,3.33
122.0,12.84,3.58
123.0,12.67,4.5
124.0,12.94,3.43
125.0,12.84,3.0900000000000003
126.0,12.72,4.41
127.0,12.6,4.5
128.0,12.62,4.45
129.0,12.79,3.92
130.0,12.65,4.5
131.0,12.99,2.99
132.0,12.96,2.99
133.0,12.92,2.94
134.0,12.7,4.41
135.0,12.74,4.11
136.0,12.96,2.94
137.0,12.72,3.8200000000000003
138.0,12.94,3.14
139.0,12.89,3.14
140.0,12.67,4.45
141.0,12.74,4.16
142.0,12.74,4.06
143.0,12.94,2.75
144.0,12.96,2.79
145.0,12.57,4.6499999999999995
146.0,12.77,3.92
147.0,12.89,3.48
148.0,12.62,4.26
149.0,12.82,3.67
150.0,12.6,4.21
151.0,12.65,4.5
152.0,12.92,2.89
153.0,12.87,3.14
154.0,12.7,4.41
155.0,12.72,4.06
156.0,12.72,3.87
157.0,12.62,4.75
158.0,12.7,4.26
159.0,12.89,3.04
160.0,12.96,2.75
161.0,12.74,3.77
162.0,12.94,2.89
163.0,12.74,3.67
164.0,12.89,3.33
165.0,12.6,4.6
166.0,12.7,4.16
167.0,12.62,4.21
168.0,12.94,2.79
169.0,12.89,2.89
170.0,12.89,3.04
171.0,12.89,2.99
172.0,12.89,3.43
173.0,12.84,3.43
174.0,12.7,4.21
175.0,12.74,4.06
176.0,12.82,3.23
177.0,12.89,3.18
178.0,12.79,3.23
179.0,12.89,3.3800000000000003
180.0,12.92,2.84
181.0,12.72,3.58
182.0,12.79,3.77
183.0,12.94,2.84
184.0,12.7,4.21
185.0,12.77,4.11
186.0,12.92,2.89
187.0,12.89,2.99
188.0,12.72,4.16
189.0,12.87,3.23
190.0,12.82,3.5300000000000002
191.0,12.55,4.6
192.0,12.96,2.84
193.0,12.84,3.58
194.0,12.77,3.2800000000000002
195.0,12.94,3.18
196.0,12.79,3.18
197.0,12.57,4.6
198.0,12.89,3.2800000000000002
199.0,12.96,2.7
200.0,12.89,3.43
201.0,12.57,4.75
202.0,12.92,2.79
203.0,12.65,4.55
204.0,12.57,4.6499999999999995
205.0,12.84,3.48
206.0,12.65,4.11
207.0,12.55,4.41
208.0,12.87,3.04
209.0,12.79,3.33
210.0,12.77,3.8200000000000003
211.0,12.89,3.14
212.0,12.7,4.31
213.0,12.6,4.31
214.0,12.57,4.5
215.0,12.94,2.89
216.0,12.89,3.2800000000000002
217.0,12.72,3.43
218.0,12.79,3.23
219.0,12.84,3.43
220.0,12.92,2.84
221.0,12.77,3.72
222.0,12.67,4.31
223.0,12.77,3.72
224.0,12.77,3.92
225.0,12.94,3.04
226.0,12.89,3.14
227.0,12.74,3.48
228.0,12.92,2.79
229.0,12.84,3.48
230.0,12.94,2.94
231.0,12.77,3.77
232.0,12.87,2.94
233.0,12.94,2.84
234.0,12.74,3.48
235.0,12.79,3.18
236.0,12.65,4.36
237.0,12.65,4.45
238.0,12.7,4.31
239.0,12.94,2.84
240.0,12.92,2.84
241.0,12.6,4.55
242.0,12.55,4.8
243.0,12.94,2.99
244.0,12.87,2.99
245.0,12.79,3.18
246.0,12.82,3.5300000000000002
247.0,12.87,3.2800000000000002
248.0,12.57,4.36
249.0,12.62,4.36
250.0,12.87,2.94
251.0,12.82,3.0900000000000003
252.0,12.79,3.58
253.0,12.87,3.23
254.0,12.82,3.18
255.0,12.84,3.3800000000000003
256.0,12.72,3.3800000000000003
257.0,12.82,3.14
258.0,12.77,3.67
259.0,12.6,4.7
260.0,12.87,2.89
261.0,12.89,3.14
262.0,12.89,2.84
263.0,12.6,4.6
264.0,12.55,4.6
265.0,12.92,2.75
266.0,12.74,3.8200000000000003
267.0,12.74,3.33
268.0,12.87,2.79
269.0,12.72,3.8200000000000003
270.0,12.57,4.6
271.0,12.62,4.45
272.0,12.89,2.89
273.0,12.92,2.7
274.0,12.57,4.6499999999999995
275.0,12.7,4.02
276.0,12.57,4.31
277.0,12.77,3.43
278.0,12.55,4.26
279.0,12.89,2.84
280.0,12.62,3.92
281.0,12.92,2.99
282.0,12.92,2.79
283.0,12.65,4.36
284.0,12.67,4.21
285.0,12.6,4.21
286.0,12.82,3.0900000000000003
287.0,12.55,4.6499999999999995
288.0,12.57,4.6
289.0,12.82,3.48
290.0,12.72,3.92
291.0,12.89,3.18
292.0,12.62,4.36
293.0,12.77,3.33
294.0,12.67,3.62
295.0,12.92,2.99
296.0,12.87,3.3800000000000003
297.0,12.52,4.75
298.0,12.67,4.21
299.0,12.77,3.43
300.0,12.65,3.5300000000000002
301.0,12.84,3.23
302.0,12.77,3.23
303.0,12.87,2.89
304.0,12.67,4.06
305.0,12.6,4.45
306.0,12.7,3.48
307.0,12.6,4.11
308.0,12.92,2.79
309.0,12.65,4.21
310.0,12.6,4.5
311.0,12.65,3.62
312.0,12.72,3.3800000000000003
313.0,12.89,2.99
314.0,12.67,3.2800000000000002
315.0,12.77,3.33
316.0,12.62,4.41
317.0,12.52,4.45
318.0,12.87,2.84
319.0,12.87,2.89
320.0,12.74,3.72
321.0,12.62,4.31
322.0,12.79,3.14
323.0,12.7,3.33
324.0,12.79,3.43
325.0,12.62,3.72
326.0,12.84,2.84
327.0,12.52,4.45
328.0,12.84,2.99
329.0,12.6,4.41
330.0,12.7,3.5300000000000002
331.0,12.6,4.11
332.0,12.89,2.99
333.0,12.77,3.23
334.0,12.67,4.02
335.0,12.57,4.5
336.0,12.92,2.84
337.0,12.92,2.94
338.0,12.62,4.36
339.0,12.67,4.06
340.0,12.77,3.2800000000000002
341.0,12.72,3.77
342.0,12.79,3.43
343.0,12.57,4.5
344.0,12.52,4.75
345.0,12.89,2.84
346.0,12.84,3.23
347.0,12.82,3.04
348.0,12.72,3.77
349.0,12.84,2.89
350.0,12.65,4.31
351.0,12.62,4.41
352.0,12.6,4.02
353.0,12.5,4.85
354.0,12.6,3.77
355.0,12.72,3.8200000000000003
356.0,12.67,4.02
357.0,12.7,3.92
358.0,12.82,2.89
359.0,12.77,3.18
360.0,12.87,2.75
361.0,12.6,4.36
362.0,12.74,3.14
363.0,12.62,3.62
364.0,12.82,3.2800000000000002
365.0,12.89,2.89
366.0,12.89,2.99
367.0,12.55,4.02
368.0,12.67,3.5300000000000002
369.0,12.67,4.11
370.0,12.6,4.41
371.0,12.79,3.3800000000000003
372.0,12.82,3.33
373.0,12.84,3.18
374.0,12.72,3.23
375.0,12.84,2.79
376.0,12.5,4.7
377.0,12.5,4.6499999999999995
378.0,12.79,3.33
379.0,12.87,2.94
380.0,12.5,4.7
381.0,12.65,4.02
382.0,12.74,3.58
383.0,12.57,4.06
384.0,12.57,4.5
385.0,12.79,2.99
386.0,12.6,4.21
387.0,12.5,4.75
388.0,12.77,3.5300000000000002
389.0,12.79,3.04
390.0,12.7,3.92
391.0,12.82,3.18
392.0,12.5,4.41
393.0,12.6,4.41
394.0,12.84,2.84
395.0,12.84,2.79
396.0,12.52,4.21
397.0,12.72,3.23
398.0,12.79,2.99
399.0,12.77,3.3800000000000003
400.0,12.87,2.79
401.0,12.5,4.55
402.0,12.67,3.62
403.0,12.72,3.33
404.0,12.89,2.99
405.0,12.79,3.43
406.0,12.79,2.89
407.0,12.89,2.84
408.0,12.55,4.11
409.0,12.84,2.79
410.0,12.5,4.55
411.0,12.62,4.26
412.0,12.82,2.84
413.0,12.82,2.89
414.0,12.72,3.3800000000000003
415.0,12.72,3.62
416.0,12.67,3.92
417.0,12.84,2.75
418.0,12.87,2.7
419.0,12.6,3.8200000000000003
420.0,12.5,4.6
421.0,12.5,4.41
422.0,12.7,3.92
423.0,12.57,4.41
424.0,12.74,3.58
425.0,12.6,4.31
426.0,12.67,3.97
427.0,12.5,4.6
428.0,12.74,3.58
429.0,12.57,4.45
430.0,12.48,4.6
431.0,12.57,4.36
432.0,12.5,4.6499999999999995
433.0,12.72,3.67
