Waktu (detik),Tegangan (V),Arus (A)
0.0,14.01,3.67
1.0,14.09,3.58
2.0,14.04,3.72
3.0,14.03,2.94
4.0,13.79,4.41
5.0,14.03,3.43
6.0,14.11,3.97
7.0,14.09,3.43
8.0,14.09,3.5300000000000002
9.0,14.26,3.23
10.0,14.21,3.18
11.0,14.01,4.16
12.0,14.33,2.89
13.0,14.26,3.2800000000000002
14.0,13.77,4.89
15.0,14.09,3.58
16.0,13.89,4.21
17.0,13.96,4.31
18.0,13.99,4.26
19.0,13.94,4.55
20.0,14.31,2.99
21.0,14.18,3.67
22.0,14.26,3.58
23.0,13.84,4.6499999999999995
24.0,13.94,4.16
25.0,14.33,3.58
26.0,14.14,3.72
27.0,14.21,3.5300000000000002
28.0,14.36,3.18
29.0,14.36,3.67
30.0,14.21,3.8200000000000003
31.0,14.18,3.67
32.0,14.4,3.18
33.0,13.77,4.6
34.0,14.06,4.06
35.0,14.21,4.11
36.0,14.21,4.26
37.0,14.18,4.26
38.0,14.18,3.23
39.0,14.16,3.18
40.0,14.11,3.33
41.0,14.26,2.99
42.0,13.99,4.26
43.0,13.99,4.6
44.0,14.26,3.43
45.0,14.45,3.5300000000000002
46.0,14.36,3.67
47.0,14.43,3.0900000000000003
48.0,14.36,3.33
49.0,14.53,2.89
50.0,13.96,4.45
51.0,14.33,2.75
52.0,14.06,3.72
53.0,14.16,3.67
54.0,14.21,3.43
55.0,13.84,4.02
56.0,14.23,2.94
57.0,13.89,3.77
58.0,14.16,3.67
59.0,14.21,3.43
60.0,13.77,4.5
61.0,13.94,4.06
62.0,13.99,3.8200000000000003
63.0,13.87,4.41
64.0,13.92,3.87
65.0,14.23,2.89
66.0,13.87,3.72
67.0,14.26,3.14
68.0,14.06,3.33
69.0,13.67,4.7
70.0,14.09,3.23
71.0,13.7,4.5
72.0,14.28,2.94
73.0,14.16,3.14
74.0,13.84,4.31
75.0,14.09,3.58
76.0,13.87,3.62
77.0,13.79,3.97
78.0,13.92,3.72
79.0,13.94,4.02
80.0,13.82,4.36
81.0,14.14,3.48
82.0,13.94,3.92
83.0,14.09,3.33
84.0,13.82,3.87
85.0,13.82,3.8200000000000003
86.0,13.94,3.97
87.0,13.77,4.6499999999999995
88.0,13.99,3.92
89.0,13.77,4.5
90.0,13.11,4.9399999999999995
91.0,13.62,3.04
92.0,13.38,3.77
93.0,13.57,3.5300000000000002
94.0,13.13,4.7
95.0,13.62,2.99
96.0,13.57,3.3800000000000003
97.0,13.31,4.26
98.0,13.55,3.3800000000000003
99.0,13.62,3.18
100.0,13.26,3.92
101.0,13.13,4.75
102.0,13.6,3.23
103.0,13.16,4.45
104.0,13.38,3.92
105.0,13.33,3.92
106.0,13.04,4.89
107.0,13.16,4.6
108.0,13.55,3.04
109.0,13.33,4.06
110.0,13.55,3.2800000000000002
111.0,13.09,4.6499999999999995
112.0,13.18,4.06
113.0,13.4,3.72
114.0,13.55,3.3800000000000003
115.0,13.16,4.7
116.0,13.16,4.6
117.0,13.33,3.58
118.0,13.16,4.36
119.0,13.38,3.48
120.0,13.33,3.67
121.0,13.55,3.2800000000000002
122.0,13.38,3.58
123.0,13.53,2.94
124.0,13.23,4.45
125.0,13.18,4.5
126.0,13.35,3.48
127.0,13.38,3.8200000000000003
128.0,13.28,4.16
129.0,13.43,3.43
130.0,13.53,2.84
131.0,13.06,4.36
132.0,13.45,3.23
133.0,13.09,4.6
134.0,13.35,3.5300000000000002
135.0,13.18,4.5
136.0,13.38,3.8200000000000003
137.0,13.11,4.21
138.0,13.23,4.36
139.0,13.11,4.8
140.0,13.33,3.72
141.0,13.04,4.7
142.0,13.55,2.99
143.0,13.28,4.11
144.0,13.31,3.87
145.0,13.04,4.85
146.0,13.04,4.85
147.0,13.5,3.04
148.0,13.13,4.21
149.0,13.35,3.48
150.0,13.04,4.7
151.0,13.06,4.55
152.0,13.04,4.6
153.0,13.43,3.67
154.0,13.55,3.04
155.0,13.04,4.6499999999999995
156.0,13.16,4.02
157.0,13.13,4.7
158.0,13.01,4.75
159.0,13.09,4.36
160.0,13.13,4.7
161.0,13.01,4.9399999999999995
162.0,13.31,3.97
163.0,13.01,4.8
164.0,13.09,4.8
165.0,13.04,4.9399999999999995
166.0,13.4,3.23
167.0,13.09,4.21
168.0,13.01,4.75
169.0,13.31,3.92
170.0,13.13,4.6499999999999995
171.0,13.38,3.72
172.0,13.33,3.87
173.0,13.53,2.94
174.0,13.31,3.87
175.0,13.4,3.2800000000000002
176.0,13.09,4.26
177.0,13.35,3.3800000000000003
178.0,13.26,3.8200000000000003
179.0,13.33,3.72
180.0,13.35,3.72
181.0,13.06,4.8
182.0,13.38,3.67
183.0,13.35,3.62
184.0,13.38,3.58
185.0,13.01,4.989999999999999
186.0,13.11,4.6499999999999995
187.0,12.99,4.7
188.0,13.23,4.06
189.0,13.23,3.58
190.0,13.09,4.6
191.0,13.28,3.97
192.0,12.99,4.8
193.0,13.13,4.45
194.0,12.99,4.8
195.0,13.43,3.14
196.0,13.23,3.62
197.0,13.48,2.89
198.0,13.13,4.02
199.0,13.4,3.04
200.0,13.43,3.5300000000000002
201.0,13.5,2.84
202.0,13.06,4.7
203.0,13.04,4.41
204.0,13.4,3.58
205.0,13.16,4.41
206.0,13.06,4.21
207.0,13.4,3.33
208.0,12.99,4.6499999999999995
209.0,13.38,3.23
210.0,13.26,3.67
211.0,13.26,4.02
212.0,13.26,4.11
213.0,12.99,4.85
214.0,12.99,4.85
215.0,13.45,2.89
216.0,13.33,3.67
217.0,13.5,3.04
218.0,13.28,3.77
219.0,13.38,3.14
220.0,13.43,2.94
221.0,13.01,4.36
222.0,13.01,4.6499999999999995
223.0,12.96,4.7
224.0,13.09,4.55
225.0,13.21,3.62
226.0,13.01,4.55
227.0,13.38,3.18
228.0,13.26,3.43
229.0,13.23,4.02
230.0,13.43,3.33
231.0,13.09,4.6
