Waktu (detik),Tegangan (V),Arus (A)
0.0,12.18,4.22
1.0,12.18,4.45
2.0,12.11,2.11
3.0,12.2,3.33
4.0,12.2,2.84
5.0,12.21,4.39
6.0,12.06,3.21
7.0,12.04,2.75
8.0,12.09,3.0900000000000003
9.0,12.18,4.78
10.0,12.22,3.06
11.0,12.01,2.95
12.0,12.12,3.87
13.0,12.03,3.91
14.0,12.03,2.6
15.0,12.04,2.2600000000000002
16.0,12.11,4.45
17.0,12.01,3.1100000000000003
18.0,12.13,4.34
19.0,12.04,2.89
20.0,12.05,2.94
21.0,12.01,2.88
22.0,12.01,3.39
23.0,12.04,3.1100000000000003
24.0,12.06,3.1100000000000003
25.0,12.04,4.27
26.0,12.06,2.89
27.0,12.05,3.67
28.0,12.11,2.93
29.0,11.99,3.45
30.0,11.89,2.11
31.0,11.94,2.9
32.0,11.77,3.14
33.0,12.11,3.97
34.0,11.96,3.94
35.0,12.08,3.8600000000000003
36.0,11.91,3.64
37.0,11.82,3.2800000000000002
38.0,11.74,3.89
39.0,12.11,3.23
40.0,12.06,2.0100000000000002
41.0,11.74,4.45
42.0,11.99,4.21
43.0,11.74,3.48
44.0,11.87,3.3400000000000003
45.0,11.89,2.89
46.0,12.01,2.16
47.0,11.99,2.65
48.0,11.99,2.65
49.0,12.01,2.5
50.0,11.69,4.11
51.0,11.99,2.2600000000000002
52.0,11.96,2.06
53.0,12.08,2.75
54.0,11.91,3.48
55.0,11.96,0.9400000000000001
56.0,11.65,3.18
57.0,11.94,2.16
58.0,11.67,3.5300000000000002
59.0,11.77,2.99
60.0,11.79,2.55
61.0,11.72,3.67
62.0,11.96,2.35
63.0,11.77,3.14
64.0,12.04,2.45
65.0,12.08,2.16
66.0,11.87,3.2800000000000002
67.0,12.04,2.4
68.0,11.91,3.0900000000000003
69.0,11.87,3.2800000000000002
70.0,11.72,4.06
71.0,11.96,2.4
72.0,12.04,2.11
73.0,11.82,3.43
74.0,11.67,3.8200000000000003
75.0,11.82,3.62
76.0,11.72,3.43
77.0,11.84,3.2800000000000002
78.0,11.96,2.79
79.0,11.74,3.87
80.0,11.77,3.14
81.0,11.69,3.5300000000000002
82.0,12.06,2.0100000000000002
83.0,12.01,2.21
84.0,12.01,2.55
85.0,11.74,3.77
86.0,11.87,3.18
87.0,11.67,3.92
88.0,11.84,3.2800000000000002
89.0,11.74,3.67
90.0,12.06,2.06
91.0,11.72,3.8200000000000003
92.0,11.82,3.33
93.0,11.69,3.43
94.0,12.06,2.21
95.0,12.01,2.35
96.0,11.91,2.89
97.0,12.06,2.11
98.0,11.89,2.89
99.0,12.08,2.11
100.0,11.89,2.89
101.0,11.79,3.43
102.0,11.94,2.75
103.0,11.79,3.58
104.0,11.89,2.84
105.0,11.79,3.43
106.0,12.01,2.45
107.0,11.77,3.58
108.0,11.87,2.99
109.0,11.67,4.06
