Waktu (detik),Tegangan (V),Arus (A)
0.0,24.51,3.14
1.0,24.51,3.08
2.0,24.51,3.12
3.0,24.52,3.0100000000000002
4.0,24.51,3.04
5.0,24.51,3.16
6.0,24.51,3.1100000000000003
7.0,24.5,3.25
8.0,24.5,3.24
9.0,24.51,3.15
10.0,24.5,3.31
11.0,24.51,3.2600000000000002
12.0,24.51,3.19
13.0,24.5,3.33
14.0,24.51,3.23
15.0,24.52,3.14
16.0,24.51,3.29
17.0,24.51,3.3200000000000003
18.0,24.51,3.24
19.0,24.52,3.23
20.0,24.53,3.0900000000000003
21.0,24.53,3.0100000000000002
22.0,24.53,3.06
23.0,24.54,2.91
24.0,24.54,2.93
25.0,24.54,2.98
26.0,24.54,2.98
27.0,24.54,2.99
28.0,24.53,3.1
29.0,24.52,3.2
30.0,24.51,3.21
31.0,24.51,3.17
32.0,24.5,3.16
33.0,24.49,3.33
34.0,24.49,3.3400000000000003
35.0,24.5,3.2
36.0,24.5,3.2
37.0,24.51,3.02
38.0,24.51,2.96
39.0,24.52,2.88
40.0,24.51,3.02
41.0,24.51,3.0300000000000002
42.0,24.5,3.17
43.0,24.5,3.15
44.0,24.49,3.22
45.0,24.49,3.2800000000000002
46.0,24.5,3.0500000000000003
47.0,24.49,3.15
48.0,24.49,3.14
49.0,24.49,3.27
50.0,24.5,3.17
51.0,24.5,3.16
52.0,24.51,3.0100000000000002
53.0,24.51,2.96
54.0,24.51,2.81
55.0,24.51,2.95
56.0,24.51,3.08
57.0,24.51,3.0500000000000003
58.0,24.52,2.94
59.0,24.51,2.98
60.0,24.51,3.02
61.0,24.5,3.23
62.0,24.5,3.33
63.0,24.5,3.3800000000000003
64.0,24.49,3.54
65.0,24.49,3.44
66.0,24.5,3.3200000000000003
67.0,24.49,3.3000000000000003
68.0,24.49,3.2800000000000002
69.0,24.5,3.1100000000000003
70.0,24.5,2.96
71.0,24.5,2.77
72.0,24.51,2.63
73.0,24.52,2.44
74.0,24.53,2.34
75.0,24.53,2.37
76.0,24.53,2.5100000000000002
77.0,24.53,2.62
78.0,24.52,2.77
79.0,24.52,2.95
80.0,24.51,3.1
81.0,24.51,3.2
82.0,24.51,3.3400000000000003
83.0,24.5,3.49
84.0,24.49,3.5
85.0,24.5,3.4
86.0,24.49,3.48
87.0,24.49,3.37
88.0,24.5,3.3000000000000003
89.0,24.5,3.27
90.0,24.49,3.3000000000000003
91.0,24.49,3.23
92.0,24.5,3.1
93.0,24.51,2.97
94.0,24.52,2.86
95.0,24.52,2.81
96.0,24.53,2.74
97.0,24.53,2.68
98.0,24.53,2.7600000000000002
99.0,24.52,2.71
100.0,24.53,2.56
101.0,24.53,2.59
102.0,24.53,2.58
103.0,24.53,2.59
104.0,24.52,2.83
105.0,24.51,3.02
106.0,24.51,2.89
107.0,24.52,2.87
108.0,24.52,2.71
109.0,24.53,2.66
110.0,24.52,2.67
111.0,24.53,2.61
112.0,24.53,2.65
113.0,24.52,2.8
114.0,24.52,2.78
115.0,24.52,2.79
116.0,24.52,2.85
117.0,24.51,2.94
118.0,24.51,3.02
119.0,24.5,3.14
120.0,24.5,3.3000000000000003
121.0,24.5,3.41
122.0,24.49,3.43
123.0,24.5,3.27
124.0,24.5,3.24
125.0,24.51,3.0900000000000003
126.0,24.5,3.1
127.0,24.5,3.21
128.0,24.5,3.1300000000000003
129.0,24.51,3.0
130.0,24.51,3.0100000000000002
131.0,24.5,3.06
132.0,24.5,3.19
133.0,24.5,3.2800000000000002
134.0,24.5,3.31
135.0,24.49,3.29
136.0,24.49,3.43
137.0,24.5,3.3400000000000003
138.0,24.51,3.3200000000000003
139.0,24.5,3.44
140.0,24.5,3.39
141.0,24.51,3.31
142.0,24.5,3.3000000000000003
143.0,24.5,3.29
144.0,24.5,3.3200000000000003
145.0,24.5,3.31
146.0,24.5,3.2800000000000002
147.0,24.5,3.3000000000000003
148.0,24.5,3.42
149.0,24.5,3.2800000000000002
150.0,24.5,3.22
151.0,24.51,3.21
152.0,24.51,3.21
153.0,24.51,3.27
